"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"373","NG7714",177000,814000,3,8,2003,2012
"374","NM4466",144000,766000,6,7,2004,2013
"375","NM7269",172000,769000,3,4,2004,2016
"376","NM5070",150000,770000,7,11,2004,2016
"377","NN0278",202000,778000,4,8,2004,2016
"378","NM7170",171000,770000,3,2,2004,2013
"379","NM7682",176000,782000,3,4,2004,2014
"380","NM6792",167000,792000,78,14,2004,2017
"381","NM6285",162000,785000,8,10,2004,2016
"382","NM6385",163000,785000,4,9,2004,2011
"383","NG7813",178000,813000,3,6,2004,2008
"384","NH3214",232000,814000,15,13,2004,2015
"385","NN1788",217000,788000,11,10,2004,2017
"386","NN1589",215000,789000,8,8,2004,2017
"387","NN1689",216000,789000,4,5,2004,2017
"388","NN1789",217000,789000,3,4,2004,2006
"389","NN1885",218000,785000,3,5,2004,2016
"390","NN1271",212000,771000,10,7,2004,2015
"391","NM6943",169000,743000,3,8,2004,2010
"392","NM7042",170000,742000,4,3,2004,2012
"393","NM7242",172000,742000,11,11,2004,2012
"394","NH2212",222000,812000,3,1,2004,2008
"395","NN1183",211000,783000,19,13,2004,2017
"396","NM4368",143000,768000,4,4,2004,2010
"397","NN1768",217000,768000,4,3,2004,2014
"398","NG8117",181000,817000,4,3,2004,2008
"399","NH1909",219000,809000,3,1,2004,2016
"400","NG5113",151000,813000,4,4,2004,2013
"401","NG5800",158000,8e+05,3,4,2004,2016
"402","NM5164",151000,764000,3,3,2004,2017
"403","NM5862",158000,762000,6,8,2004,2017
"404","NM5863",158000,763000,3,7,2004,2004
"405","NM5864",158000,764000,4,7,2004,2008
"406","NM4566",145000,766000,8,6,2004,2012
"407","NN1177",211000,777000,5,5,2004,2011
"408","NN1887",218000,787000,3,3,2004,2006
"409","NN0976",209000,776000,3,3,2004,2014
"410","NR2769",127000,669000,28,13,2003,2014
"411","NR3364",133000,664000,3,3,2003,2010
"412","NR4653",146000,653000,6,9,2003,2016
"413","NR2767",127000,667000,56,16,2003,2016
"414","NR2866",128000,666000,24,17,2003,2014
"415","NR3059",130000,659000,4,6,2003,2011
"416","NR3072",130000,672000,4,7,2003,2011
"417","NR2871",128000,671000,3,3,2003,2014
"418","NR3358",133000,658000,4,6,2003,2004
"419","NR3760",137000,660000,3,6,2003,2005
"420","NR1653",116000,653000,5,8,2004,2013
"421","NR2370",123000,670000,8,8,2004,2011
"422","NR4469",144000,669000,4,5,2004,2014
"423","NR2661",126000,661000,56,10,2004,2011
"424","NR2943",129000,643000,7,8,2004,2017
"425","NR3357",133000,657000,3,7,2004,2004
"426","NR3588",135000,688000,15,10,2004,2012
"427","NR3463",134000,663000,3,3,2004,2006
"428","NR4279",142000,679000,7,9,2004,2017
"429","NR3968",139000,668000,3,5,2004,2017
"430","NN0942",209000,742000,4,7,2004,2013
"431","NS3341",233000,641000,75,13,2003,2010
"432","NR7991",179000,691000,14,12,2003,2017
"433","NR8588",185000,688000,4,3,2003,2017
"434","NS3135",231000,635000,10,12,2003,2016
"435","NM2823",128000,723000,4,2,2003,2016
"436","NM6930",169000,730000,6,9,2003,2010
"437","NM0145",101000,745000,63,5,2003,2017
"438","NM0143",101000,743000,29,5,2003,2017
"439","NL9944",99000,744000,33,7,2003,2017
"440","NM0043",1e+05,743000,22,5,2003,2017
"441","NM0044",1e+05,744000,33,7,2003,2017
"442","NM3718",137000,718000,9,8,2003,2016
"443","NM4658",146000,758000,4,8,2003,2017
"444","NM5445",154000,745000,6,7,2003,2016
"445","NR8393",183000,693000,8,10,2003,2017
"446","NM4855",148000,755000,16,13,2003,2017
"447","NM3853",138000,753000,38,16,2003,2016
"448","NM6740",167000,740000,12,9,2003,2014
"449","NM4339",143000,739000,14,9,2003,2017
"450","NM4439",144000,739000,23,15,2003,2017
"451","NR8398",183000,698000,41,15,2003,2017
"452","NM5742",157000,742000,3,4,2003,2011
"453","NM3448",134000,748000,61,12,2003,2016
"454","NM3548",135000,748000,172,16,2003,2011
"455","NM9633",196000,733000,6,8,2003,2015
"456","NM9033",190000,733000,12,10,2003,2017
"457","NM8320",183000,720000,6,8,2003,2016
"458","NM8726",187000,726000,4,4,2003,2017
"459","NN0335",203000,735000,4,8,2003,2013
"460","NN0330",203000,730000,8,14,2003,2010
"461","NR7176",171000,676000,3,1,2003,2003
"462","NR7179",171000,679000,29,11,2003,2008
"463","NM8009",180000,709000,3,4,2003,2016
"464","NR6974",169000,674000,10,7,2003,2015
"465","NR7075",170000,675000,12,8,2003,2015
"466","NR5978",159000,678000,4,4,2003,2015
"467","NR7273",172000,673000,3,2,2003,2013
"468","NR6739",167000,639000,7,6,2003,2007
"469","NN3218",232000,718000,3,5,2003,2015
"470","NM7615",176000,715000,16,14,2003,2017
"471","NM8630",186000,730000,5,6,2003,2017
"472","NR7690",176000,690000,10,7,2003,2003
"473","NN0233",202000,733000,5,13,2003,2013
"474","NN0537",205000,737000,10,4,2003,2016
"475","NN0538",205000,738000,15,6,2003,2016
"476","NM8004",180000,704000,3,5,2003,2012
"477","NR7887",178000,687000,5,6,2003,2017
"478","NR8490",184000,690000,11,11,2003,2015
"479","NN2741",227000,741000,3,4,2003,2014
"480","NS2054",220000,654000,6,6,2003,2017
"481","NM8422",184000,722000,14,10,2003,2016
"482","NM8522",185000,722000,4,4,2003,2013
"483","NM8423",184000,723000,4,5,2003,2016
"484","NR9568",195000,668000,26,7,2003,2003
"485","NS3278",232000,678000,4,5,2003,2017
