"easting","northing","n50m","mean","min","max"
194000,676000,400,154.675250282288,70.0999984741211,225.699996948242
195000,676000,400,241.610249443054,166.199996948242,285.700012207031
196000,676000,400,288.030749740601,240,328.899993896484
197000,676000,400,332.376499938965,287.799987792969,389.899993896484
198000,676000,400,327.490499420166,269.299987792969,395.799987792969
199000,676000,400,229.974500207901,19,341.399993896484
2e+05,676000,132,48.6462120788567,-1,119.300003051758
201000,676000,285,49.6470176337058,-1,125.800003051758
202000,676000,400,119.112500286102,34.5,211.100006103516
203000,676000,400,245.417750091553,168.600006103516,305.5
204000,676000,400,323.19249961853,195.199996948242,473.5
205000,676000,400,465.039000015259,379.100006103516,504.600006103516
206000,676000,400,227.156250267029,52.7999992370605,398.399993896484
207000,676000,151,42.0576159022502,-1,151.899993896484
208000,676000,140,66.8335715447153,-1,200.100006103516
209000,676000,400,244.240500087738,56,416.700012207031
210000,676000,400,198.23074971199,61.4000015258789,457.5
211000,676000,400,463.987999801636,288.899993896484,518.799987792969
212000,676000,400,430.661749649048,276.100006103516,504.5
213000,676000,400,385.98625038147,303.200012207031,476.5
214000,676000,400,269.844999847412,145.5,376.100006103516
215000,676000,400,134.185000286102,73.4000015258789,251
216000,676000,400,49.5929999861866,-1.10000002384186,120
217000,676000,197,12.178172610511,-1.10000002384186,30.7000007629395
222000,676000,378,80.7640212067851,-1.20000004768372,138.899993896484
223000,676000,400,95.7477499103546,50.2999992370605,148.600006103516
224000,676000,400,73.2337501335144,32,113.300003051758
225000,676000,400,98.0720001316071,42.0999984741211,133.600006103516
226000,676000,400,66.4117498826981,24.5,117.400001525879
227000,676000,400,13.7287500226498,-1.20000004768372,35
228000,676000,400,-0.253000044226646,-1.20000004768372,27.8999996185303
229000,676000,400,-1.1977500474453,-1.20000004768372,-0.699999988079071
230000,676000,391,-1.29999995231628,-1.29999995231628,-1.29999995231628
221000,676000,237,35.0573839014593,-1.20000004768372,93.5
231000,676000,181,-1.29999995231628,-1.29999995231628,-1.29999995231628
145000,676000,76,20.0763157904148,-0.600000023841858,44.2999992370605
135000,676000,47,8.51489367637229,-0.699999988079071,41
186000,676000,34,34.158823630389,-1.29999995231628,78
232000,676000,136,-1.29999995231628,-1.29999995231628,-1.29999995231628
129000,676000,67,8.68358208772852,-0.699999988079071,30.8999996185303
220000,676000,35,8.41142852306366,-1.20000004768372,36.2000007629395
167000,676000,6,3.74999989569187,-0.200000002980232,6.69999980926514
128000,676000,11,2.96363630619916,-0.699999988079071,12.3999996185303
128000,675000,157,6.51783442383359,-0.699999988079071,21.7000007629395
129000,675000,50,7.47600001186132,-0.699999988079071,19.2999992370605
135000,675000,343,49.2040816162531,-0.600000023841858,124.699996948242
136000,675000,400,166.907249927521,67.0999984741211,285.700012207031
137000,675000,400,220.049250297546,140.899993896484,294.100006103516
138000,675000,400,221.636999435425,189.5,277.200012207031
139000,675000,400,220.360250015259,165.899993896484,280.700012207031
140000,675000,400,167.212249946594,110,227.800003051758
141000,675000,400,108.717999992371,30,212.399993896484
142000,675000,69,29.1594204453455,-0.600000023841858,53.2000007629395
145000,675000,290,36.1289654459419,-0.600000023841858,79.5
146000,675000,400,101.557000131607,38.2999992370605,168.699996948242
147000,675000,400,221.873000106812,135.699996948242,327.899993896484
148000,675000,400,337.15625038147,258.299987792969,406.399993896484
149000,675000,400,478.462999649048,374.399993896484,773
150000,675000,400,512.385499649048,358.799987792969,759.200012207031
151000,675000,400,376.957498626709,257.399993896484,674.299987792969
152000,675000,400,441.487499923706,325.100006103516,573.700012207031
153000,675000,400,315.749999656677,235.300003051758,451.700012207031
154000,675000,400,219.18000038147,182.300003051758,263.899993896484
155000,675000,400,217.146000099182,134.800003051758,288.899993896484
156000,675000,400,135.979250335693,72.5,207.600006103516
157000,675000,399,74.0087718542917,-0.100000001490116,115.400001525879
158000,675000,91,21.4769230751873,-0.100000001490116,54.2999992370605
167000,675000,43,5.39302327466566,-0.200000002980232,26.3999996185303
168000,675000,22,2.87727273323319,-0.200000002980232,12.1000003814697
170000,675000,399,65.2200499784229,-0.200000002980232,123.599998474121
171000,675000,400,96.7582498931885,26.8999996185303,142.699996948242
172000,675000,400,117.205999815464,13.3000001907349,197.600006103516
173000,675000,262,45.9889312138539,-0.200000002980232,154.5
175000,675000,232,5.67931037309483,-0.200000002980232,68.4000015258789
176000,675000,399,58.3719298190678,0,173.100006103516
177000,675000,400,132.964749727249,19.8999996185303,184.399993896484
178000,675000,400,175.7347498703,90.3000030517578,282
179000,675000,400,250.62950012207,98.0999984741211,388.899993896484
180000,675000,400,280.865500068665,184.899993896484,363.600006103516
181000,675000,400,352.43799949646,271,409.200012207031
182000,675000,400,394.690750656128,302.899993896484,497.100006103516
183000,675000,400,330.882250404358,250.699996948242,453.299987792969
184000,675000,400,297.530250358582,211,423.5
185000,675000,400,163.414750051498,23.7000007629395,247.800003051758
186000,675000,70,23.7200000831059,1.20000004768372,85.9000015258789
191000,675000,389,36.397429368643,-0.800000011920929,81.6999969482422
192000,675000,400,45.9062499880791,8.10000038146973,86.3000030517578
193000,675000,400,140.251750125885,41.4000015258789,215.100006103516
194000,675000,400,199.46375038147,148.899993896484,252.300003051758
195000,675000,400,208.370749778748,170.300003051758,272.5
196000,675000,400,261.930749664307,204,318.200012207031
197000,675000,400,359.862249908447,277.799987792969,431.799987792969
198000,675000,400,286.467749557495,233.699996948242,389.600006103516
199000,675000,400,202.770500435829,9.60000038146973,347.299987792969
2e+05,675000,126,24.0190476557565,-1,92.8000030517578
201000,675000,94,13.8882978503057,-1,40.9000015258789
202000,675000,285,70.7898244715574,-1,166.800003051758
203000,675000,400,153.440000076294,36.7999992370605,241.300003051758
204000,675000,400,288.375749511719,172.5,459.600006103516
205000,675000,400,441.769999771118,375.100006103516,493.799987792969
206000,675000,400,336.900749473572,169.899993896484,450.5
207000,675000,257,89.4677040409949,-1,202.300003051758
208000,675000,41,16.8512195479579,-1,73.5
209000,675000,400,70.8485000008345,-1,187
210000,675000,400,334.430250301361,80,466.799987792969
211000,675000,400,446.440750198364,272,513.5
212000,675000,400,273.779749526978,171.5,430.5
213000,675000,400,318.790749473572,211.899993896484,386.700012207031
214000,675000,400,348.355749664307,262.299987792969,392.5
215000,675000,400,190.930749721527,111.400001525879,305.899993896484
216000,675000,323,63.5817338176556,-1.10000002384186,121.5
220000,675000,321,59.4950156243419,-1.20000004768372,123.099998474121
221000,675000,400,123.114499807358,39,184.199996948242
222000,675000,400,151.460749816895,94.3000030517578,199.5
223000,675000,400,121.906499767303,41.2999992370605,175.399993896484
224000,675000,400,71.4847500705719,41.5,143.800003051758
225000,675000,400,90.4977500534058,52.7000007629395,146.600006103516
226000,675000,400,70.6610001564026,32.7000007629395,133.300003051758
227000,675000,400,74.1544998407364,24,154
228000,675000,400,32.0847499650717,-1.20000004768372,104.099998474121
229000,675000,400,15.0520000311732,-1.20000004768372,60.2999992370605
230000,675000,400,1.15850003223866,-11.6999998092651,13.3999996185303
231000,675000,142,0.164788765806547,-1.29999995231628,7.59999990463257
232000,675000,77,-1.29999995231628,-1.29999995231628,-1.29999995231628
169000,675000,105,15.3219048690228,-0.200000002980232,46
166000,675000,74,4.6445945938294,-0.200000002980232,15
190000,675000,24,9.47500005364418,-0.800000011920929,29.7999992370605
134000,675000,72,12.8694444403259,-0.600000023841858,30.1000003814697
144000,675000,29,6.70000006027263,-0.600000023841858,24
174000,675000,1,-0.200000002980232,-0.200000002980232,-0.200000002980232
127000,674000,44,0.847727279771458,-0.699999988079071,5.09999990463257
128000,674000,219,9.15525113685763,-0.699999988079071,26.2999992370605
129000,674000,326,10.9220858996768,-0.699999988079071,24.6000003814697
134000,674000,393,32.0987277560258,-0.600000023841858,75.8000030517578
135000,674000,400,84.2304999351501,30.7999992370605,141.100006103516
136000,674000,400,147.716750011444,75.6999969482422,216.600006103516
137000,674000,400,221.053499984741,129.300003051758,281.100006103516
138000,674000,400,219.927499961853,158.699996948242,282.299987792969
139000,674000,400,168.169499530792,122.5,225.100006103516
140000,674000,400,142.675249910355,55.4000015258789,224
141000,674000,339,55.0988202313055,-0.600000023841858,113.300003051758
142000,674000,10,0.770000016689301,-0.600000023841858,5.30000019073486
144000,674000,241,20.6514522942146,-0.600000023841858,29
145000,674000,400,55.7125000190735,21.6000003814697,98.9000015258789
146000,674000,400,142.932000007629,87.9000015258789,196.300003051758
147000,674000,400,215.629750022888,160.5,260
148000,674000,400,303.181000061035,233.300003051758,413.399993896484
149000,674000,400,467.412000656128,312.600006103516,781.299987792969
150000,674000,400,458.651750488281,305,688.700012207031
151000,674000,400,495.056998977661,236.199996948242,750.200012207031
152000,674000,400,321.860499534607,201.5,409.399993896484
153000,674000,400,249.487749977112,133.5,393.5
154000,674000,400,171.298249950409,111.099998474121,233.100006103516
155000,674000,400,149.346749992371,62,206.600006103516
156000,674000,400,71.0895000267029,24.1000003814697,126.800003051758
157000,674000,347,39.5925071672335,-0.100000001490116,91.5999984741211
166000,674000,10,0.719999969005585,-0.200000002980232,4.59999990463257
169000,674000,77,8.15194809059431,-0.200000002980232,32.7000007629395
170000,674000,400,44.7949999997765,-0.200000002980232,100.300003051758
171000,674000,400,50.0744999969006,4.19999980926514,111.5
172000,674000,290,69.6199998070968,-0.200000002980232,144.399993896484
173000,674000,16,7.7062501180917,-0.200000002980232,19.1000003814697
174000,674000,175,34.856571467604,-0.200000002980232,65.3000030517578
