"","km_sq","Presence","easting","northing"
"169","NM3318",0,133000,718000
"170","NM3346",0,133000,746000
"171","NM3347",0,133000,747000
"172","NM3348",0,133000,748000
"173","NM3446",0,134000,746000
"174","NM3447",0,134000,747000
"175","NM3448",0,134000,748000
"176","NM3545",0,135000,745000
"177","NM3546",0,135000,746000
"178","NM3547",0,135000,747000
"179","NM3548",0,135000,748000
"180","NM3549",0,135000,749000
"181","NM3640",0,136000,740000
"182","NM3645",0,136000,745000
"183","NM3646",0,136000,746000
"184","NM3647",0,136000,747000
"185","NM3648",0,136000,748000
"186","NM3651",0,136000,751000
"187","NM3718",0,137000,718000
"188","NM3719",0,137000,719000
"189","NM3746",0,137000,746000
"190","NM3748",0,137000,748000
"191","NM3751",0,137000,751000
"192","NM3753",0,137000,753000
"193","NM3821",0,138000,721000
"194","NM3840",0,138000,740000
"195","NM3845",0,138000,745000
"196","NM3846",0,138000,746000
"197","NM3853",0,138000,753000
"198","NM3854",0,138000,754000
"199","NM3918",0,139000,718000
"200","NM3941",0,139000,741000
"201","NM3945",0,139000,745000
"202","NM3947",0,139000,747000
"203","NM3948",0,139000,748000
"204","NM3952",0,139000,752000
"205","NM3953",0,139000,753000
"206","NM4026",0,140000,726000
"207","NM4038",0,140000,738000
"208","NM4039",0,140000,739000
"209","NM4040",0,140000,740000
"210","NM4044",0,140000,744000
"211","NM4045",0,140000,745000
"212","NM4052",0,140000,752000
"213","NM4054",0,140000,754000
"214","NM4080",0,140000,780000
"215","NM4099",0,140000,799000
"216","NM4100",0,141000,7e+05
"217","NM4118",0,141000,718000
"218","NM4126",0,141000,726000
"219","NM4138",0,141000,738000
"220","NM4154",0,141000,754000
"221","NM4167",0,141000,767000
"222","NM4179",0,141000,779000
"223","NM4199",0,141000,799000
"224","NM4200",0,142000,7e+05
"225","NM4238",0,142000,738000
"226","NM4239",0,142000,739000
"227","NM4240",0,142000,740000
"228","NM4250",0,142000,750000
"229","NM4251",0,142000,751000
"230","NM4252",0,142000,752000
"231","NM4256",0,142000,756000
"232","NM4257",0,142000,757000
"233","NM4267",0,142000,767000
"234","NM4326",0,143000,726000
"235","NM4327",0,143000,727000
"236","NM4338",0,143000,738000
"237","NM4339",0,143000,739000
"238","NM4351",0,143000,751000
"239","NM4356",0,143000,756000
"240","NM4357",0,143000,757000
"241","NM4368",0,143000,768000
"242","NM4427",0,144000,727000
"243","NM4432",0,144000,732000
"244","NM4438",0,144000,738000
"245","NM4439",0,144000,739000
"246","NM4442",0,144000,742000
"247","NM4453",0,144000,753000
"248","NM4456",0,144000,756000
"249","NM4457",0,144000,757000
"250","NM4466",0,144000,766000
"251","NM4467",0,144000,767000
"252","NM4468",0,144000,768000
"253","NM4469",0,144000,769000
"254","NM4527",0,145000,727000
"255","NM4539",0,145000,739000
"256","NM4540",0,145000,740000
"257","NM4552",0,145000,752000
"258","NM4553",0,145000,753000
"259","NM4556",0,145000,756000
"260","NM4557",0,145000,757000
"261","NM4558",0,145000,758000
"262","NM4566",0,145000,766000
"263","NM4584",0,145000,784000
"264","NM4627",0,146000,727000
"265","NM4651",0,146000,751000
"266","NM4652",0,146000,752000
"267","NM4658",0,146000,758000
"268","NM4662",0,146000,762000
"269","NM4727",0,147000,727000
"270","NM4746",0,147000,746000
"271","NM4748",0,147000,748000
"272","NM4752",0,147000,752000
"273","NM4753",0,147000,753000
"274","NM4757",0,147000,757000
"275","NM4758",0,147000,758000
"276","NM4783",0,147000,783000
"277","NM4784",0,147000,784000
"278","NM4785",0,147000,785000
"279","NM4786",0,147000,786000
"280","NM4787",0,147000,787000
"281","NM4788",0,147000,788000
"282","NM4790",0,147000,790000
"283","NM4849",0,148000,749000
"284","NM4855",0,148000,755000
"285","NM4863",0,148000,763000
"286","NM4884",0,148000,784000
"287","NM4885",0,148000,785000
"288","NM4890",0,148000,790000
"289","NM4954",0,149000,754000
"290","NM5034",0,150000,734000
"291","NM5047",0,150000,747000
"292","NM5054",0,150000,754000
"293","NM5055",0,150000,755000
"294","NM5056",0,150000,756000
"295","NM5069",0,150000,769000
"296","NM5070",0,150000,770000
"297","NM5126",0,151000,726000
"298","NM5129",0,151000,729000
"299","NM5135",0,151000,735000
"300","NM5140",0,151000,740000
"301","NM5146",0,151000,746000
"302","NM5163",0,151000,763000
"303","NM5164",0,151000,764000
"304","NM5169",0,151000,769000
"305","NM5220",0,152000,720000
"306","NM5226",0,152000,726000
"307","NM5229",0,152000,729000
"308","NM5252",0,152000,752000
"309","NM5253",0,152000,753000
"310","NM5262",0,152000,762000
"311","NM5269",0,152000,769000
"312","NM5328",0,153000,728000
"313","NM5329",0,153000,729000
"314","NM5341",0,153000,741000
