"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"188","NM2943",129000,743000,6,5,2000,2009
"189","NM2741",127000,741000,35,9,2000,2016
"190","NM2842",128000,742000,23,11,2000,2017
"191","NS0045",2e+05,645000,4,8,2000,2012
"192","NS0460",204000,660000,2,1,2000,2001
"193","NM5169",151000,769000,18,10,2001,2002
"194","NM5069",150000,769000,15,10,2001,2004
"195","NM6852",168000,752000,73,14,2001,2008
"196","NM6851",168000,751000,82,16,2001,2016
"197","NM6752",167000,752000,80,14,2001,2008
"198","NN1091",210000,791000,92,17,2001,2016
"199","NN1291",212000,791000,107,17,2001,2017
"200","NM7969",179000,769000,25,12,2002,2007
"201","NN2088",220000,788000,9,6,2001,2016
"202","NN2481",224000,781000,9,4,2001,2016
"203","NM5462",154000,762000,11,10,2001,2017
"204","NM5761",157000,761000,4,5,2001,2003
"205","NM6863",168000,763000,7,7,2001,2010
"206","NM5762",157000,762000,1,4,2001,2001
"207","NM5461",154000,761000,11,11,2001,2015
"208","NM6670",166000,770000,5,8,2001,2013
"209","NM4469",144000,769000,15,9,2001,2016
"210","NM5269",152000,769000,16,10,2001,2013
"211","NM5270",152000,770000,2,5,2001,2007
"212","NM5370",153000,770000,2,2,2001,2002
"213","NN2089",220000,789000,4,5,2001,2006
"214","NM9379",193000,779000,2,2,2001,2017
"215","NM9380",193000,780000,12,4,2001,2015
"216","NM9481",194000,781000,2,2,2001,2009
"217","NN0280",202000,780000,8,16,2001,2016
"218","NN0181",201000,781000,2,5,2001,2015
"219","NN0182",201000,782000,1,1,2001,2001
"220","NN0281",202000,781000,1,1,2001,2001
"221","NN0282",202000,782000,4,4,2001,2016
"222","NN0283",202000,783000,1,1,2001,2001
"223","NM9182",191000,782000,4,8,2001,2012
"224","NN1468",214000,768000,8,6,2001,2016
"225","NM9181",191000,781000,4,11,2001,2016
"226","NM8581",185000,781000,3,3,2001,2015
"227","NN1261",212000,761000,9,5,2001,2017
"228","NN0758",207000,758000,1,2,2001,2001
"229","NM9185",191000,785000,1,1,2001,2001
"230","NN2673",226000,773000,1,1,2001,2001
"231","NN2773",227000,773000,1,1,2001,2001
"232","NN2275",222000,775000,1,1,2001,2001
"233","NN1862",218000,762000,5,4,2001,2017
"234","NN2377",223000,777000,1,2,2001,2001
"235","NN1481",214000,781000,16,11,2001,2017
"236","NM5661",156000,761000,7,8,2001,2017
"237","NM9765",197000,765000,1,2,2001,2001
"238","NM7254",172000,754000,1,2,2001,2001
"239","NM5961",159000,761000,23,15,2001,2017
"240","NM4868",148000,768000,1,2,2001,2001
"241","NM5963",159000,763000,3,6,2001,2004
"242","NM9465",194000,765000,4,7,2001,2010
"243","NH0713",207000,813000,1,1,2001,2001
"244","NM4787",147000,787000,5,6,2001,2008
"245","NM4786",147000,786000,8,10,2001,2013
"246","NM4788",147000,788000,4,5,2001,2014
"247","NM7461",174000,761000,29,16,2001,2013
"248","NM9180",191000,780000,2,5,2001,2007
"249","NN1577",215000,777000,7,7,2001,2008
"250","NN1678",216000,778000,5,4,2001,2005
"251","NN0791",207000,791000,5,6,2001,2009
"252","NN0891",208000,791000,3,4,2001,2009
"253","NM8067",180000,767000,5,3,2001,2005
"254","NN1682",216000,782000,3,5,2001,2009
"255","NM4167",141000,767000,6,7,2001,2016
"256","NN2985",229000,785000,1,1,2001,2001
"257","NM4767",147000,767000,2,2,2001,2004
"258","NG5617",156000,817000,1,3,2001,2001
"259","NG5212",152000,812000,1,2,2001,2001
"260","NM6691",166000,791000,35,12,2001,2017
"261","NM4863",148000,763000,4,5,2001,2007
"262","NN0871",208000,771000,13,6,2001,2015
"263","NN0971",209000,771000,21,12,2001,2014
"264","NN0970",209000,770000,16,8,2001,2009
"265","NM7071",170000,771000,22,10,2001,2004
"266","NM7072",170000,772000,14,9,2001,2007
"267","NM7171",171000,771000,2,2,2001,2003
"268","NM8262",182000,762000,3,3,2001,2003
"269","NN0792",207000,792000,5,6,2001,2017
