"","km_sq","easting","northing","Presence"
"349","NM4080",140000,780000,0
"350","NM4179",141000,779000,0
"351","NM6993",169000,793000,0
"352","NM6892",168000,792000,0
"353","NN2880",228000,780000,0
"354","NN2781",227000,781000,0
"355","NN1277",212000,777000,0
"356","NN2580",225000,780000,0
"357","NN2381",223000,781000,0
"358","NG2705",127000,805000,0
"359","NN1970",219000,770000,0
"360","NN1870",218000,770000,0
"361","NN1769",217000,769000,0
"362","NN1869",218000,769000,0
"363","NH2302",223000,802000,0
"364","NG3603",136000,803000,0
"365","NM6864",168000,764000,0
"366","NN1770",217000,770000,0
"367","NN1372",213000,772000,0
"368","NM9764",197000,764000,0
"369","NN0179",201000,779000,0
"370","NG8112",181000,812000,0
"371","NG9913",199000,813000,0
"372","NM6270",162000,770000,0
"373","NG7714",177000,814000,0
"374","NM4466",144000,766000,0
"375","NM7269",172000,769000,0
"376","NM5070",150000,770000,0
"377","NN0278",202000,778000,0
"378","NM7170",171000,770000,0
"379","NM7682",176000,782000,0
"380","NM6792",167000,792000,0
"381","NM6285",162000,785000,0
"382","NM6385",163000,785000,0
"383","NG7813",178000,813000,0
"384","NH3214",232000,814000,0
"385","NN1788",217000,788000,0
"386","NN1589",215000,789000,0
"387","NN1689",216000,789000,0
"388","NN1789",217000,789000,0
"389","NN1885",218000,785000,0
"390","NN1271",212000,771000,0
"391","NM6943",169000,743000,0
"392","NM7042",170000,742000,0
"393","NM7242",172000,742000,0
"394","NH2212",222000,812000,0
"395","NN1183",211000,783000,0
"396","NM4368",143000,768000,0
"397","NN1768",217000,768000,0
"398","NG8117",181000,817000,0
"399","NH1909",219000,809000,0
"400","NG5113",151000,813000,0
"401","NG5800",158000,8e+05,0
"402","NM5164",151000,764000,0
"403","NM5862",158000,762000,0
"404","NM5863",158000,763000,0
"405","NM5864",158000,764000,0
"406","NM4566",145000,766000,0
"407","NN1177",211000,777000,0
"408","NN1887",218000,787000,0
"409","NN0976",209000,776000,0
"410","NR2769",127000,669000,0
"411","NR3364",133000,664000,0
"412","NR4653",146000,653000,0
"413","NR2767",127000,667000,0
"414","NR2866",128000,666000,0
"415","NR3059",130000,659000,0
"416","NR3072",130000,672000,0
"417","NR2871",128000,671000,0
"418","NR3358",133000,658000,0
"419","NR3760",137000,660000,0
"420","NR1653",116000,653000,0
"421","NR2370",123000,670000,0
"422","NR4469",144000,669000,0
"423","NR2661",126000,661000,0
"424","NR2943",129000,643000,0
"425","NR3357",133000,657000,0
"426","NR3588",135000,688000,0
"427","NR3463",134000,663000,0
"428","NR4279",142000,679000,0
"429","NR3968",139000,668000,0
"430","NN0942",209000,742000,0
"431","NS3341",233000,641000,0
"432","NR7991",179000,691000,0
"433","NR8588",185000,688000,0
"434","NS3135",231000,635000,0
"435","NM2823",128000,723000,0
"436","NM6930",169000,730000,0
"437","NM0145",101000,745000,0
"438","NM0143",101000,743000,0
"439","NL9944",99000,744000,0
"440","NM0043",1e+05,743000,0
"441","NM0044",1e+05,744000,0
"442","NM3718",137000,718000,0
"443","NM4658",146000,758000,0
"444","NM5445",154000,745000,0
"445","NR8393",183000,693000,0
"446","NM4855",148000,755000,0
"447","NM3853",138000,753000,0
"448","NM6740",167000,740000,0
"449","NM4339",143000,739000,0
"450","NM4439",144000,739000,0
"451","NR8398",183000,698000,0
"452","NM5742",157000,742000,0
"453","NM3448",134000,748000,0
"454","NM3548",135000,748000,0
"455","NM9633",196000,733000,0
"456","NM9033",190000,733000,0
"457","NM8320",183000,720000,0
"458","NM8726",187000,726000,0
"459","NN0335",203000,735000,0
"460","NN0330",203000,730000,0
"461","NR7176",171000,676000,0
"462","NR7179",171000,679000,0
"463","NM8009",180000,709000,0
"464","NR6974",169000,674000,0
