,ID,X,Y,species,adults
1423,2380,-5.082859849,56.68047197,Chequered Skipper,Absent
1427,2384,-5.071654268,56.84344495,Chequered Skipper,Absent
1429,2386,-4.946558363,56.71253664,Chequered Skipper,Absent
1430,2387,-5.315324069,56.72393808,Chequered Skipper,Absent
1431,2388,-5.595312878,56.76201878,Chequered Skipper,Absent
1432,2389,-5.614125776,56.75338266,Chequered Skipper,Absent
1433,2390,-5.610689411,56.75168419,Chequered Skipper,Absent
1436,2393,-5.310023253,56.71014523,Chequered Skipper,Absent
1437,2394,-5.094848062,56.90579251,Chequered Skipper,Absent
1438,2395,-5.202476385,56.98263103,Chequered Skipper,Absent
1440,2397,-5.34869497,56.96082046,Chequered Skipper,Absent
1441,2398,-5.350306437,56.97875628,Chequered Skipper,Absent
1593,2550,-5.097939366,56.91335621,Chequered Skipper,Absent
1594,2551,-5.080800777,56.90479158,Chequered Skipper,Absent
1595,2552,-5.052905375,56.8951399,Chequered Skipper,Absent
1596,2553,-5.202476385,56.98263103,Chequered Skipper,Absent
1598,2555,-5.524425842,56.72178996,Chequered Skipper,Absent
1637,2594,-5.073426137,56.70497508,Chequered Skipper,Absent
1638,2595,-5.073426137,56.70497508,Chequered Skipper,Absent
1649,2606,-5.016426569,56.71760498,Chequered Skipper,Absent
1790,2747,-5.535336145,56.71608632,Chequered Skipper,Absent
1791,2748,-4.990984741,56.77799204,Chequered Skipper,Absent
1792,2749,-5.376856039,56.72632975,Chequered Skipper,Absent
1793,2750,-5.377661084,56.73529775,Chequered Skipper,Absent
1794,2751,-5.359742262,56.71780296,Chequered Skipper,Absent
1795,2752,-5.360542973,56.72677113,Chequered Skipper,Absent
1796,2753,-5.360542973,56.72677113,Chequered Skipper,Absent
1797,2754,-5.343432601,56.71824206,Chequered Skipper,Absent
1798,2755,-5.32712248,56.71867903,Chequered Skipper,Absent
1799,2756,-5.310811899,56.71911387,Chequered Skipper,Absent
1800,2757,-5.310811899,56.71911387,Chequered Skipper,Absent
1801,2758,-5.91304908,56.69264329,Chequered Skipper,Absent
1808,2765,-5.092292539,56.97416925,Chequered Skipper,Absent
1816,2773,-5.070018203,56.70326141,Chequered Skipper,Absent
1817,2774,-5.214964565,56.71668171,Chequered Skipper,Absent
2015,2972,-5.100287001,56.54475494,Chequered Skipper,Absent
2022,2979,-5.167668456,56.9120564,Chequered Skipper,Absent
2026,2983,-5.821104689,56.59974043,Chequered Skipper,Absent
2076,3033,-5.147244645,56.51256092,Chequered Skipper,Absent
2077,3034,-5.147244645,56.51256092,Chequered Skipper,Absent
2081,3038,-5.14237724,56.51268424,Chequered Skipper,Absent
2082,3039,-5.14237724,56.51268424,Chequered Skipper,Absent
2086,3043,-5.137509797,56.51280738,Chequered Skipper,Absent
2087,3044,-5.137509797,56.51280738,Chequered Skipper,Absent
2089,3046,-5.137509797,56.51280738,Chequered Skipper,Absent
