"","gridref","km_sq","abundance","rec_month","rec_year","easting","northing"
"39","NM906805","NM9080",0,6,2010,190650,780550
"40","NM787689","NM7868",0,6,2010,178750,768950
"41","NM788687","NM7868",0,6,2010,178850,768750
"42","NM735629","NM7362",0,6,2010,173550,762950
"43","NM748617","NM7461",0,6,2010,174850,761750
"44","NM820676","NM8267",0,6,2010,182050,767650
"45","NM792687","NM7968",0,6,2010,179250,768750
"46","NM793681","NM7968",0,6,2010,179350,768150
"47","NM794680","NM7968",0,6,2010,179450,768050
"48","NM811672","NM8167",0,6,2010,181150,767250
"49","NM819674","NM8167",0,6,2010,181950,767450
"50","NM924792","NM9279",8,6,2012,192450,779250
"51","NM925798","NM9279",1,0,2001,192550,779850
"52","NM65NE","",0,0,2003,170000,760000
"53","NM9661","NM9661",2,0,2003,196500,761500
"54","NM9661","NM9661",2,0,2003,196500,761500
"55","NM9661","NM9661",3,0,2003,196500,761500
"56","NN0570","NN0570",1,0,2003,205500,770500
"57","NN0570","NN0570",2,0,2003,205500,770500
"58","NN0570","NN0570",4,0,2003,205500,770500
"59","NN0570","NN0570",6,0,2003,205500,770500
"60","NN103915","NN1091",0,0,2004,210350,791550
"61","NN120913","NN1291",0,0,2004,212050,791350
"62","NN205885","NN2088",1,0,2004,220550,788550
"63","NM8473","NM8473",0,0,2005,184500,773500
"64","NM8364","NM8364",0,0,2005,183500,764500
"65","NM8473","NM8473",15,0,2006,184500,773500
"66","NN1091","NN1091",17,0,2006,210500,791500
"67","NN1291","NN1291",6,0,2006,212500,791500
"68","NN1091","NN1091",16,0,2007,210500,791500
"69","NN1291","NN1291",4,0,2007,212500,791500
"70","NM8473","NM8473",12,0,2007,184500,773500
"71","NN039785","NN0378",0,0,2009,203950,778550
"72","NN0045","NN0045",116,0,2009,200500,745500
"73","NN105913","NN1091",20,0,2010,210550,791350
"74","NN120911","NN1291",2,0,2010,212050,791150
"75","NM841736","NM8473",11,0,2010,184150,773650
"76","NM86","",122,0,2010,185000,765000
"77","NM86","",1,0,2011,185000,765000
"78","NM6965","NM6965",0,0,2012,169500,765500
"79","NM8364","NM8364",4,0,2012,183500,764500
"80","NN1091","NN1091",2,0,2013,210500,791500
"81","NN1291","NN1291",6,0,2013,212500,791500
"82","NM8364","NM8364",2,0,2013,183500,764500
"83","NM9279","NM9279",2,0,2013,192500,779500
"84","NM7968","NM7968",9,0,2013,179500,768500
"85","NN19","",3,0,2014,215000,795000
"86","NN19","",1,0,2014,215000,795000
"87","NM8364","NM8364",5,0,2014,183500,764500
"88","NM9279","NM9279",10,0,2014,192500,779500
"89","NN2479","NN2479",7,0,2014,224500,779500
"90","NM7968","NM7968",1,0,2014,179500,768500
"91","NM7968","NM7968",6,0,2014,179500,768500
"92","NN1678","NN1678",1,0,2014,216500,778500
"93","NN1091","NN1091",5,0,2015,210500,791500
"94","NN1291","NN1291",2,0,2015,212500,791500
"95","NM9279","NM9279",5,0,2015,192500,779500
"96","NN1382","NN1382",1,0,2015,213500,782500
"97","NN2479","NN2479",6,0,2015,224500,779500
"98","NM7968","NM7968",3,0,2015,179500,768500
"99","NM7968","NM7968",6,0,2015,179500,768500
"100","NM7968","NM7968",0,0,2016,179500,768500
"101","NM7968","NM7968",2,0,2016,179500,768500
"102","NN240796","NN2479",1,0,2016,224050,779650
"103","NN1291","NN1291",2,0,2016,212500,791500
"104","NM9279","NM9279",16,0,2016,192500,779500
"105","NN1382","NN1382",4,0,2016,213500,782500
"106","NN1156","NN1156",1,0,2016,211500,756500
"107","NM839642","NM8364",1,6,2000,183950,764250
"108","NM836641","NM8364",1,5,2000,183650,764150
"109","NM836641","NM8364",1,6,2000,183650,764150
"110","NM837641","NM8364",1,6,2000,183750,764150
"111","NM839642","NM8364",1,6,2000,183950,764250
"112","NM840642","NM8464",5,6,2000,184050,764250
"113","NM754617","NM7561",0,6,2000,175450,761750
"114","NM819676","NM8167",1,6,2000,181950,767650
"115","NM791687","NM7968",0,6,2000,179150,768750
"116","NM793689","NM7968",0,6,2000,179350,768950
"117","NM690649","NM6964",1,5,2000,169050,764950
"118","NM798714","NM7971",2,6,2000,179850,771450
"119","NM839735","NM8373",2,5,2000,183950,773550
"120","NM901796","NM9079",5,6,2000,190150,779650
"121","NM906799","NM9079",6,6,2000,190650,779950
"122","NM917799","NM9179",3,6,2000,191750,779950
"123","NM923793","NM9279",3,6,2000,192350,779350
"124","NM798714","NM7971",2,6,2000,179850,771450
"125","NM799677","NM7967",3,6,2000,179950,767750
"126","NM812674","NM8167",1,6,2000,181250,767450
"127","NM782693","NM7869",4,6,2000,178250,769350
"128","NM788687","NM7868",2,6,2000,178850,768750
"129","NM838734","NM8373",1,5,2000,183850,773450
"130","NM838734","NM8373",4,6,2000,183850,773450
"131","NM839735","NM8373",2,5,2000,183950,773550
"132","NM839735","NM8373",3,6,2000,183950,773550
"133","NM839735","NM8373",2,6,2000,183950,773550
"134","NM840734","NM8473",3,5,2000,184050,773450
"135","NM840734","NM8473",1,5,2000,184050,773450
"136","NM840734","NM8473",1,6,2000,184050,773450
"137","NM840734","NM8473",1,6,2000,184050,773450
"138","NM9835","NM9835",1,6,2000,198500,735500
"139","NM9945","NM9945",0,5,2000,199500,745500
"140","NN005455","NN0045",8,5,2000,200550,745550
"141","NN048500","NN0450",6,6,2000,204850,750050
"142","NN05K","",6,6,2000,205000,751000
"143","NM836641","NM8364",2,6,2001,183650,764150
"144","NM836640","NM8364",1,6,2001,183650,764050
"145","NM839642","NM8364",3,5,2001,183950,764250
"146","NM840642","NM8464",1,5,2001,184050,764250
"147","NM840642","NM8464",1,6,2001,184050,764250
"148","NN105913","NN1091",1,6,2002,210550,791350
"149","NN105913","NN1091",1,6,2002,210550,791350
"150","NN105915","NN1091",1,6,2002,210550,791550
"151","NN120911","NN1291",1,6,2002,212050,791150
"152","NN121914","NN1291",1,6,2002,212150,791450
"153","NN121914","NN1291",1,6,2002,212150,791450
"154","NM836641","NM8364",1,6,2002,183650,764150
"155","NM840642","NM8464",2,6,2002,184050,764250
"156","NN0045","NN0045",15,5,2002,200500,745500
"157","NN0045","NN0045",2,5,2002,200500,745500
"158","NN0045","NN0045",7,6,2002,200500,745500
"159","NN0045","NN0045",3,6,2002,200500,745500
"160","NN0045","NN0045",4,6,2002,200500,745500
"161","NN0045","NN0045",7,6,2002,200500,745500
"162","NN0045","NN0045",1,6,2002,200500,745500
"163","NM792690","NM7969",1,6,2002,179250,769050
"164","NN248811","NN2481",2,6,2001,224850,781150
"165","NN248811","NN2481",1,6,2001,224850,781150
"166","NM932801","NM9380",1,6,2001,193250,780150
"167","NN022799","NN0279",1,6,2001,202250,779950
"168","NN023800","NN0280",0,6,2001,202350,780050
"169","NM7461","NM7461",9,6,2001,174500,761500
"170","NM746618","NM7461",2,5,2001,174650,761850
"171","NM8263","NM8263",7,5,2001,182500,763500
"172","NM8263","NM8263",7,6,2001,182500,763500
"173","NM8263","NM8263",5,6,2001,182500,763500
"174","NM832636","NM8363",2,6,2001,183250,763650
"175","NM8363","NM8363",2,5,2001,183500,763500
"176","NM901796","NM9079",1,6,2001,190150,779650
"177","NM9079","NM9079",5,6,2001,190500,779500
"178","NM9079","NM9079",4,6,2001,190500,779500
"179","NM917799","NM9179",1,6,2001,191750,779950
"180","NM917800","NM9180",1,5,2001,191750,780050
"181","NM923794","NM9279",2,5,2001,192350,779450
"182","NM923794","NM9279",2,6,2001,192350,779450
"183","NN150775","NN1577",2,6,2001,215050,777550
"184","NN162783","NN1678",4,6,2001,216250,778350
"185","NN0791","NN0791",7,5,2001,207500,791500
"186","NN0891","NN0891",9,5,2001,208500,791500
"187","NM799677","NM7967",2,6,2001,179950,767750
"188","NM799677","NM7967",1,6,2001,179950,767750
"189","NM808674","NM8067",2,5,2001,180850,767450
"190","NM782693","NM7869",2,5,2001,178250,769350
"191","NM782693","NM7869",2,6,2001,178250,769350
"192","NN1682","NN1682",7,5,2001,216500,782500
"193","NM8373","NM8373",2,5,2001,183500,773500
"194","NM8373","NM8373",6,5,2001,183500,773500
"195","NM8373","NM8373",6,5,2001,183500,773500
"196","NM8373","NM8373",4,6,2001,183500,773500
"197","NM839734","NM8373",1,5,2001,183950,773450
"198","NM839735","NM8373",1,6,2001,183950,773550
"199","NM842734","NM8473",1,6,2001,184250,773450
"200","NM8473","NM8473",7,5,2001,184500,773500
"201","NM8473","NM8473",9,5,2001,184500,773500
"202","NM8473","NM8473",7,6,2001,184500,773500
"203","NM8473","NM8473",3,6,2001,184500,773500
"204","NM746618","NM7461",2,5,2001,174650,761850
"205","NM746618","NM7461",2,6,2001,174650,761850
"206","NM747617","NM7461",2,5,2001,174750,761750
"207","NM747618","NM7461",3,6,2001,174750,761850
"208","NM826633","NM8263",2,6,2001,182650,763350
"209","NM826634","NM8263",1,5,2001,182650,763450
"210","NM826634","NM8263",2,6,2001,182650,763450
"211","NM827635","NM8263",2,5,2001,182750,763550
"212","NM827635","NM8263",1,6,2001,182750,763550
"213","NM828634","NM8263",2,5,2001,182850,763450
"214","NM828634","NM8263",1,6,2001,182850,763450
"215","NM828634","NM8263",2,6,2001,182850,763450
"216","NM828635","NM8263",1,5,2001,182850,763550
"217","NM828635","NM8263",1,6,2001,182850,763550
"218","NM828635","NM8263",2,6,2001,182850,763550
"219","NM829635","NM8263",3,5,2001,182950,763550
"220","NM829635","NM8263",2,6,2001,182950,763550
"221","NM829635","NM8263",1,6,2001,182950,763550
"222","NM831635","NM8363",1,5,2001,183150,763550
"223","NM831635","NM8363",1,6,2001,183150,763550
"224","NM831635","NM8363",1,6,2001,183150,763550
"225","NM832636","NM8363",2,5,2001,183250,763650
"226","NM832636","NM8363",1,6,2001,183250,763650
"227","NN077919","NN0791",4,5,2001,207750,791950
"228","NN078919","NN0791",3,5,2001,207850,791950
"229","NN081918","NN0891",3,5,2001,208150,791850
"230","NN086916","NN0891",4,5,2001,208650,791650
"231","NN089915","NN0891",2,5,2001,208950,791550
"232","NM901796","NM9079",1,6,2001,190150,779650
"233","NM901796","NM9079",2,6,2001,190150,779650
"234","NM901796","NM9079",2,6,2001,190150,779650
"235","NM906799","NM9079",3,6,2001,190650,779950
"236","NM906799","NM9079",2,6,2001,190650,779950
"237","NM917799","NM9179",1,6,2001,191750,779950
"238","NM917800","NM9180",1,5,2001,191750,780050
"239","NM923794","NM9279",2,5,2001,192350,779450
"240","NM923794","NM9279",2,6,2001,192350,779450
"241","NN150775","NN1577",2,6,2001,215050,777550
"242","NN162783","NN1678",4,6,2001,216250,778350
"243","NM799677","NM7967",2,6,2001,179950,767750
"244","NM799677","NM7967",1,6,2001,179950,767750
"245","NM808674","NM8067",2,5,2001,180850,767450
"246","NM782693","NM7869",2,5,2001,178250,769350
"247","NM782693","NM7869",2,6,2001,178250,769350
"248","NN163820","NN1682",5,5,2001,216350,782050
"249","NN164820","NN1682",2,5,2001,216450,782050
"250","NM838734","NM8373",2,5,2001,183850,773450
"251","NM838734","NM8373",1,5,2001,183850,773450
"252","NM838734","NM8373",2,6,2001,183850,773450
"253","NM839734","NM8373",1,5,2001,183950,773450
"254","NM839734","NM8373",2,5,2001,183950,773450
"255","NM839734","NM8373",1,5,2001,183950,773450
"256","NM839734","NM8373",3,5,2001,183950,773450
"257","NM839734","NM8373",1,6,2001,183950,773450
"258","NM839735","NM8373",1,5,2001,183950,773550
"259","NM839735","NM8373",2,5,2001,183950,773550
"260","NM839735","NM8373",2,5,2001,183950,773550
"261","NM839735","NM8373",1,6,2001,183950,773550
"262","NM839735","NM8373",1,6,2001,183950,773550
"263","NM840734","NM8473",1,5,2001,184050,773450
"264","NM840734","NM8473",1,5,2001,184050,773450
"265","NM840734","NM8473",2,6,2001,184050,773450
"266","NM841734","NM8473",1,5,2001,184150,773450
"267","NM841734","NM8473",2,5,2001,184150,773450
"268","NM841734","NM8473",1,6,2001,184150,773450
"269","NM841734","NM8473",1,6,2001,184150,773450
"270","NM842734","NM8473",1,5,2001,184250,773450
"271","NM842734","NM8473",2,5,2001,184250,773450
"272","NM842734","NM8473",2,6,2001,184250,773450
"273","NM842734","NM8473",2,6,2001,184250,773450
"274","NM842734","NM8473",1,6,2001,184250,773450
"275","NM934449","NM9344",1,6,2002,193450,744950
"276","NM9243","NM9243",1,6,2002,192500,743500
"277","NN1291","NN1291",6,6,2002,212500,791500
"278","NM992917","NM9991",2,6,2002,199250,791750
"279","NN104913","NN1091",1,6,2002,210450,791350
"280","NN0146","NN0146",0,5,2002,201500,746500
"281","NN1091","NN1091",0,5,2002,210500,791500
"282","NN104915","NN1091",0,6,2002,210450,791550
"283","NN104915","NN1091",1,6,2002,210450,791550
"284","NN119914","NN1191",0,6,2002,211950,791450
"285","NN120913","NN1291",1,6,2002,212050,791350
"286","NN122911","NN1291",1,6,2002,212250,791150
"287","NN053924","NN0592",0,6,2002,205350,792450
"288","NN053924","NN0592",1,6,2002,205350,792450
"289","NN104914","NN1091",1,6,2002,210450,791450
"290","NN118913","NN1191",1,6,2002,211850,791350
"291","NN121914","NN1291",1,6,2002,212150,791450
"292","NN1291","NN1291",1,6,2002,212500,791500
"293","NM8761","NM8761",1,6,2002,187500,761500
"294","NN0792","NN0792",1,6,2002,207500,792500
"295","NM746618","NM7461",0,5,2002,174650,761850
"296","NM746618","NM7461",1,6,2002,174650,761850
"297","NM846618","NM8461",2,6,2002,184650,761850
"298","NM827632","NM8263",1,6,2002,182750,763250
"299","NM831635","NM8363",2,6,2002,183150,763550
"300","NM832636","NM8363",2,6,2002,183250,763650
"301","NM840734","NM8473",0,5,2002,184050,773450
"302","NM840734","NM8473",0,5,2002,184050,773450
"303","NM840734","NM8473",0,6,2002,184050,773450
"304","NM840734","NM8473",0,6,2002,184050,773450
"305","NM840734","NM8473",0,6,2002,184050,773450
"306","NM840734","NM8473",0,6,2002,184050,773450
"307","NN121914","NN1291",0,6,2002,212150,791450
"308","NM840820","NM8482",0,6,2002,184050,782050
"309","NM706648","NM7064",1,6,2002,170650,764850
"310","NM746618","NM7461",2,5,2002,174650,761850
"311","NM746618","NM7461",1,6,2002,174650,761850
"312","NM747617","NM7461",2,5,2002,174750,761750
"313","NM846618","NM8461",2,6,2002,184650,761850
"314","NM827632","NM8263",1,6,2002,182750,763250
"315","NM831635","NM8363",2,6,2002,183150,763550
"316","NM832636","NM8363",2,6,2002,183250,763650
"317","NM838734","NM8373",1,5,2002,183850,773450
"318","NM838734","NM8373",2,6,2002,183850,773450
"319","NM839734","NM8373",2,5,2002,183950,773450
"320","NM839734","NM8373",3,5,2002,183950,773450
"321","NM839734","NM8373",3,6,2002,183950,773450
"322","NM839734","NM8373",1,6,2002,183950,773450
"323","NM839734","NM8373",2,6,2002,183950,773450
"324","NM839734","NM8373",2,6,2002,183950,773450
"325","NM839735","NM8373",1,5,2002,183950,773550
"326","NM839735","NM8373",1,6,2002,183950,773550
"327","NM839735","NM8373",2,6,2002,183950,773550
"328","NM839735","NM8373",2,6,2002,183950,773550
"329","NM839735","NM8373",1,6,2002,183950,773550
"330","NM840734","NM8473",1,5,2002,184050,773450
"331","NM840734","NM8473",2,5,2002,184050,773450
"332","NM840734","NM8473",4,6,2002,184050,773450
"333","NM840734","NM8473",1,6,2002,184050,773450
"334","NM840734","NM8473",3,6,2002,184050,773450
"335","NM840734","NM8473",1,6,2002,184050,773450
"336","NM9835","NM9835",1,6,2001,198500,735500
"337","NM977447","NM9744",0,6,2001,197750,744750
"338","NM9744","NM9744",0,5,2001,197500,744500
"339","NN048500","NN0450",5,5,2001,204850,750050
"340","NM992450","NM9945",19,5,2001,199250,745050
"341","NM992450","NM9945",15,5,2001,199250,745050
"342","NM992450","NM9945",4,6,2001,199250,745050
"343","NM9243","NM9243",0,6,2002,192500,743500
"344","NM934449","NM9344",0,6,2002,193450,744950
"345","NM997452","NM9945",9,6,2002,199750,745250
"346","NM977444","NM9744",8,6,2002,197750,744450
"347","NM934449","NM9344",1,6,2002,193450,744950
"348","NM9243","NM9243",1,6,2002,192500,743500
"349","NN0146","NN0146",0,5,2002,201500,746500
"350","NN04D","",0,5,2002,201000,747000
"351","NM988450","NM9845",0,6,2002,198850,745050
"352","NN083375","NN0837",0,5,2002,208350,737550
"353","NN045360","NN0436",0,5,2002,204550,736050
"354","NN048353","NN0435",0,5,2002,204850,735350
"355","NN227815","NN2281",3,6,2003,222750,781550
"356","NM998453","NM9945",7,6,2004,199850,745350
"357","NN005443","NN0044",2,6,2004,200550,744350
"358","NM840642","NM8464",1,6,2003,184050,764250
"359","NM835641","NM8364",1,6,2003,183550,764150
"360","NM836640","NM8364",2,5,2003,183650,764050
"361","NM837641","NM8364",1,5,2003,183750,764150
"362","NM838641","NM8364",1,5,2003,183850,764150
"363","NM838641","NM8364",1,5,2003,183850,764150
"364","NM840642","NM8464",1,6,2003,184050,764250
"365","NM840642","NM8464",1,6,2003,184050,764250
"366","NM840642","NM8464",2,6,2003,184050,764250
"367","NM840642","NM8464",2,6,2003,184050,764250
"368","NM840642","NM8464",2,6,2003,184050,764250
"369","NM965615","NM9661",2,5,2003,196550,761550
"370","NM965615","NM9661",2,5,2003,196550,761550
"371","NM965615","NM9661",1,5,2003,196550,761550
"372","NM965615","NM9661",1,6,2003,196550,761550
"373","NN055705","NN0570",1,5,2003,205550,770550
"374","NN055705","NN0570",1,6,2003,205550,770550
"375","NN055705","NN0570",3,5,2003,205550,770550
"376","NN055705","NN0570",1,5,2003,205550,770550
"377","NN055705","NN0570",1,6,2003,205550,770550
"378","NN055705","NN0570",1,6,2003,205550,770550
"379","NN055705","NN0570",1,5,2003,205550,770550
"380","NN055705","NN0570",1,6,2003,205550,770550
"381","NN055705","NN0570",1,5,2003,205550,770550
"382","NN055705","NN0570",1,6,2003,205550,770550
"383","NN055705","NN0570",1,5,2003,205550,770550
"384","NN0045","NN0045",12,6,2003,200500,745500
"385","NN0045","NN0045",1,6,2003,200500,745500
"386","NN0045","NN0045",2,5,2003,200500,745500
"387","NN0045","NN0045",2,5,2003,200500,745500
"388","NN0045","NN0045",4,5,2003,200500,745500
"389","NN0045","NN0045",4,5,2003,200500,745500
"390","NN0045","NN0045",4,6,2003,200500,745500
"391","NN0045","NN0045",1,5,2003,200500,745500
"392","NN0045","NN0045",1,5,2003,200500,745500
"393","NN0045","NN0045",1,5,2003,200500,745500
"394","NN0045","NN0045",1,5,2003,200500,745500
"395","NN0045","NN0045",5,5,2003,200500,745500
"396","NN0045","NN0045",6,6,2003,200500,745500
"397","NN0045","NN0045",1,5,2003,200500,745500
"398","NN0045","NN0045",1,5,2003,200500,745500
"399","NN0045","NN0045",1,6,2003,200500,745500
"400","NM792688","NM7968",1,6,2003,179250,768850
"401","NM794690","NM7969",1,6,2003,179450,769050
"402","NM792690","NM7969",2,6,2003,179250,769050
"403","NM838735","NM8373",3,6,2003,183850,773550
"404","NM839735","NM8373",3,6,2003,183950,773550
"405","NM838735","NM8373",3,5,2003,183850,773550
"406","NM838735","NM8373",3,5,2003,183850,773550
"407","NM838735","NM8373",3,6,2003,183850,773550
"408","NM837735","NM8373",1,5,2003,183750,773550
"409","NM843734","NM8473",1,5,2003,184350,773450
"410","NM842734","NM8473",18,6,2003,184250,773450
"411","NM840735","NM8473",7,5,2003,184050,773550
"412","NN105913","NN1091",6,6,2004,210550,791350
"413","NN105915","NN1091",1,6,2004,210550,791550
"414","NN101915","NN1091",4,6,2004,210150,791550
"415","NN120911","NN1291",1,6,2004,212050,791150
"416","NN120911","NN1291",1,6,2004,212050,791150
"417","NN122915","NN1291",2,6,2004,212250,791550
"418","NN121914","NN1291",2,5,2004,212150,791450
"419","NM836641","NM8364",1,5,2004,183650,764150
"420","NM837641","NM8364",1,5,2004,183750,764150
"421","NM838641","NM8364",1,5,2004,183850,764150
"422","NN0045","NN0045",12,5,2004,200500,745500
"423","NN0045","NN0045",12,6,2004,200500,745500
"424","NN0045","NN0045",3,5,2004,200500,745500
"425","NN0045","NN0045",3,6,2004,200500,745500
"426","NN0045","NN0045",2,6,2004,200500,745500
"427","NN0045","NN0045",2,6,2004,200500,745500
"428","NN0045","NN0045",3,6,2004,200500,745500
"429","NN0045","NN0045",3,6,2004,200500,745500
"430","NN0045","NN0045",4,5,2004,200500,745500
"431","NN0045","NN0045",1,6,2004,200500,745500
"432","NN0045","NN0045",1,6,2004,200500,745500
"433","NM792688","NM7968",5,5,2004,179250,768850
"434","NM792690","NM7969",2,5,2004,179250,769050
"435","NM789687","NM7868",1,5,2004,178950,768750
"436","NM838735","NM8373",2,6,2004,183850,773550
"437","NM838735","NM8373",2,6,2004,183850,773550
"438","NM839735","NM8373",3,6,2004,183950,773550
"439","NM838735","NM8373",2,6,2004,183850,773550
"440","NM837735","NM8373",1,5,2004,183750,773550
"441","NM837735","NM8373",1,6,2004,183750,773550
"442","NM843734","NM8473",1,5,2004,184350,773450
"443","NM842734","NM8473",5,5,2004,184250,773450
"444","NM840735","NM8473",7,5,2004,184050,773550
"445","NN2781","NN2781",14,6,2003,227500,781500
"446","NN1277","NN1277",1,6,2003,212500,777500
"447","NN2481","NN2481",7,6,2003,224500,781500
"448","NN2580","NN2580",7,6,2003,225500,780500
"449","NM9380","NM9380",1,6,2003,193500,780500
"450","NN2381","NN2381",24,6,2003,223500,781500
"451","NN2880","NN2880",1,6,2003,228500,780500
"452","NN234817","NN2381",0,6,2003,223450,781750
"453","NN251808","NN2580",0,6,2003,225150,780850
"454","NM747618","NM7461",0,6,2003,174750,761850
"455","NM788704","NM7870",0,6,2003,178850,770450
"456","NM789705","NM7870",0,6,2003,178950,770550
"457","NM796711","NM7971",0,6,2003,179650,771150
"458","NM810717","NM8171",0,6,2003,181050,771750
"459","NM7968","NM7968",3,6,2003,179500,768500
"460","NM7968","NM7968",2,6,2003,179500,768500
"461","NN019790","NN0179",0,6,2003,201950,779050
"462","NN1379","NN1379",0,6,2003,213500,779500
"463","NN1476","NN1476",0,6,2003,214500,776500
"464","NM8373","NM8373",1,5,2003,183500,773500
"465","NM8373","NM8373",10,5,2003,183500,773500
"466","NM8373","NM8373",25,5,2003,183500,773500
"467","NM8373","NM8373",29,6,2003,183500,773500
"468","NM8373","NM8373",20,6,2003,183500,773500
"469","NM8373","NM8373",10,6,2003,183500,773500
"470","NM8373","NM8373",4,6,2003,183500,773500
"471","NN120912","NN1291",0,9,2003,212050,791250
"472","NN120912","NN1291",0,9,2003,212050,791250
"473","NN121912","NN1291",12,6,2003,212150,791250
"474","NN121912","NN1291",6,6,2003,212150,791250
"475","NN121912","NN1291",0,9,2003,212150,791250
"476","NN121912","NN1291",0,9,2003,212150,791250
"477","NN122914","NN1291",0,9,2003,212250,791450
"478","NN120912","NN1291",4,6,2003,212050,791250
"479","NN120912","NN1291",1,6,2003,212050,791250
"480","NN227815","NN2281",3,6,2003,222750,781550
"481","NN095711","NN0971",2,6,2003,209550,771150
"482","NN096712","NN0971",1,5,2003,209650,771250
"483","NN096712","NN0971",1,6,2003,209650,771250
"484","NM745618","NM7461",2,5,2003,174550,761850
"485","NM746618","NM7461",1,5,2003,174650,761850
"486","NM746618","NM7461",2,6,2003,174650,761850
"487","NM747618","NM7461",1,5,2003,174750,761850
"488","NM747618","NM7461",1,6,2003,174750,761850
"489","NM747618","NM7461",2,6,2003,174750,761850
"490","NM826634","NM8263",2,5,2003,182650,763450
"491","NM826634","NM8263",2,6,2003,182650,763450
"492","NM827634","NM8263",2,6,2003,182750,763450
"493","NM827635","NM8263",1,6,2003,182750,763550
"494","NM831635","NM8363",2,5,2003,183150,763550
"495","NM831635","NM8363",2,6,2003,183150,763550
"496","NM832634","NM8363",1,6,2003,183250,763450
"497","NM832635","NM8363",1,6,2003,183250,763550
"498","NM832636","NM8363",2,6,2003,183250,763650
"499","NM836736","NM8373",1,6,2003,183650,773650
"500","NM837735","NM8373",1,6,2003,183750,773550
"501","NM837735","NM8373",2,6,2003,183750,773550
"502","NM839736","NM8373",2,5,2003,183950,773650
"503","NM839736","NM8373",1,5,2003,183950,773650
"504","NM839736","NM8373",3,6,2003,183950,773650
"505","NM839736","NM8373",2,6,2003,183950,773650
"506","NM840735","NM8473",1,6,2003,184050,773550
"507","NM840736","NM8473",2,5,2003,184050,773650
"508","NM840736","NM8473",1,5,2003,184050,773650
"509","NM840736","NM8473",2,6,2003,184050,773650
"510","NN1091","NN1091",4,5,2003,210500,791500
"511","NN1291","NN1291",2,5,2003,212500,791500
"512","NM943794","NM9479",0,7,2004,194350,779450
"513","NN1091","NN1091",1,5,2004,210500,791500
"514","NN1091","NN1091",11,6,2004,210500,791500
"515","NN1291","NN1291",3,5,2004,212500,791500
"516","NN1291","NN1291",5,6,2004,212500,791500
"517","NN1291","NN1291",4,6,2004,212500,791500
"518","NN160894","NN1689",1,6,2004,216050,789450
"519","NN165895","NN1689",4,6,2004,216550,789550
"520","NN119913","NN1191",1,6,2004,211950,791350
"521","NN121914","NN1291",2,6,2004,212150,791450
"522","NN122914","NN1291",4,6,2004,212250,791450
"523","NN122916","NN1291",1,6,2004,212250,791650
"524","NN143905","NN1490",1,6,2004,214350,790550
"525","NN144906","NN1490",2,6,2004,214450,790650
"526","NN144910","NN1491",1,6,2004,214450,791050
"527","NN145908","NN1490",1,6,2004,214550,790850
"528","NN145910","NN1491",1,6,2004,214550,791050
"529","NN053924","NN0592",6,6,2004,205350,792450
"530","NN074920","NN0792",2,6,2004,207450,792050
"531","NN075921","NN0792",24,6,2004,207550,792150
"532","NN103916","NN1091",2,6,2004,210350,791650
"533","NN104914","NN1091",2,6,2004,210450,791450
"534","NM7968","NM7968",1,5,2004,179500,768500
"535","NM7968","NM7968",8,5,2004,179500,768500
"536","NN292807","NN2980",1,5,2004,229250,780750
